lore_code,lore_name,matched_sku,matched_product_name,score,action
100,Petition for Help,,,0.524,UNMATCHED
101,Broken Finger Stalker Contract,,,0.517,UNMATCHED
1000,Crimson Amber Medallion,MENU_KNOWLEDGE_18000,Crimson Amber Medallion,1.000,UPDATED
1001,Crimson Amber Medallion +1,MENU_KNOWLEDGE_18001,Crimson Amber Medallion +1,1.000,UPDATED
1002,Crimson Amber Medallion +2,MENU_KNOWLEDGE_18002,Crimson Amber Medallion +2,1.000,UPDATED
1010,Cerulean Amber Medallion,MENU_KNOWLEDGE_18010,Cerulean Amber Medallion,1.000,UPDATED
1011,Cerulean Amber Medallion +1,MENU_KNOWLEDGE_18011,Cerulean Amber Medallion +1,1.000,UPDATED
1012,Cerulean Amber Medallion +2,MENU_KNOWLEDGE_18012,Cerulean Amber Medallion +2,1.000,UPDATED
1020,Viridian Amber Medallion,MENU_KNOWLEDGE_18020,Viridian Amber Medallion,1.000,UPDATED
1021,Viridian Amber Medallion +1,MENU_KNOWLEDGE_18021,Viridian Amber Medallion +1,1.000,UPDATED
1022,Viridian Amber Medallion +2,MENU_KNOWLEDGE_18022,Viridian Amber Medallion +2,1.000,UPDATED
1030,Arsenal Charm,MENU_KNOWLEDGE_18030,Arsenal Charm,1.000,UPDATED
1031,Arsenal Charm +1,MENU_KNOWLEDGE_18031,Arsenal Charm +1,1.000,UPDATED
1032,Great-Jar's Arsenal,MENU_KNOWLEDGE_18032,Great-Jar_s Arsenal,1.000,UPDATED
1040,Erdtree's Favor,MENU_KNOWLEDGE_18040,Erdtree_s Favor,1.000,UPDATED
1041,Erdtree's Favor +1,MENU_KNOWLEDGE_18041,Erdtree_s Favor +1,1.000,UPDATED
1042,Erdtree's Favor +2,MENU_KNOWLEDGE_18042,Erdtree_s Favor +2,1.000,UPDATED
1050,Radagon's Scarseal,MENU_KNOWLEDGE_18050,Radagon_s Scarseal,1.000,UPDATED
1051,Radagon's Soreseal,MENU_KNOWLEDGE_18051,Radagon_s Soreseal,1.000,UPDATED
1060,Starscourge Heirloom,MENU_KNOWLEDGE_18070,Starscourge Heirloom,1.000,UPDATED
1070,Prosthesis-Wearer Heirloom,MENU_KNOWLEDGE_18080,Prosthesis-Wearer Heirloom,1.000,UPDATED
1080,Stargazer Heirloom,MENU_KNOWLEDGE_18090,Stargazer Heirloom,1.000,UPDATED
1090,Two Fingers Heirloom,MENU_KNOWLEDGE_18100,Two Fingers Heirloom,1.000,UPDATED
1100,Silver Scarab,MENU_KNOWLEDGE_18110,Silver Scarab,1.000,UPDATED
